Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
tpm_trade,Trade,Trade,Obchodovat,Handel,Handel,Handel,Traden,Handel,Handel,Handel,Handel,Handel,Handel,Handel,
tpm_purchase,Purchase,Purchase,Nákup,Kaufen,Покупка,Zakup,Vásárlás,Acquisto,Compra,Achat,购买,購入,Compra,购买,
tpm_sell,Sell,Sell,Prodej,Verkaufen,Продать,Sprzedaj,Eladás,Vendi,Vender,Vendre,出售,売る,Vender,出售,
tpm_buy,Buy,Buy,Koupit,Kaufen,Купить,Kup,Vásárlás,Compra,Comprar,Acheter,购买,買う,Comprar,购买,
tpm_close,Close,Close,Zavřít,Schließen,Закрыть,Zamknij,Bezár,Chiudi,Cerrar,Fermer,关闭,閉じる,Fechar,关闭,
tpm_details,Details,Details,Detaily,Details,Детали,Szczegóły,Részletek,Dettagli,Detalles,Détails,详情,詳細,Detalhes,详情,
tpm_category_name,Category Name,Category Name,Název kategorie,Kategoriename,Название категории,Nazwa kategorii,Kategória neve,Nome categoria,Nombre categoría,Nom catégorie,类别名称,カテゴリ名,Nome categoria,类别名称,
tpm_sort_by,Price,Price,Cena,Preis,Цена,Cena,Ár,Prezzo,Precio,Prix,价格,価格,Preço,价格,
tpm_collapse,Collapse,Collapse,Sbalit,Einklappen,Свернуть,Zwiń,Összecsuk,Comprimi,Contraer,Réduire,折叠,折りたたむ,Recolher,折叠,
tpm_product_description,Product Description,Product Description,Popis produktu,Produktbeschreibung,Описание товара,Opis produktu,Termékleírás,Descrizione prodotto,Descripción producto,Description produit,产品描述,商品説明,Descrição produto,产品描述,
tpm_select_item_slot,Select item slot to manage,Select item slot to manage,Zvol položku pro správu slotu,Wähle Gegenstandsplatz zum Verwalten,Выберите слот предмета для управления,Wybierz slot przedmiotu do zarządzania,Válassz tárgyhelyet a kezeléshez,Seleziona slot oggetto da gestire,Selecciona ranura de objeto para gestionar,Sélectionner l'emplacement d'objet à gérer,选择要管理的物品槽,管理するアイテムスロットを選択,Selecionar slot de item para gerir,选择要管理的物品槽,
tpm_repair_to_pristine,Repair to Pristine,Repair to Pristine,Opravit na NEPOŠKOZENÉ,Auf Neuwertig reparieren,Отремонтировать до нового,Napraw do stanu nowego,Javítás újszerűre,Ripara a nuovo,Reparar a prístino,Réparer à l'état neuf,修复至崭新,新品に修理,Reparar para pristino,修复至崭新,
tpm_select_variant,Select Variant,Select Variant,Zvol variantu,Variante auswählen,Выбрать вариант,Wybierz wariant,Változat kiválasztása,Seleziona variante,Seleccionar variante,Sélectionner variante,选择变体,バリアントを選択,Selecionar variante,选择变体,
tpm_upgrade_item_only,Upgrade item only!,Upgrade item only!,Pouze pro upgrade!,Nur Gegenstand verbessern!,Только улучшить предмет!,Tylko ulepsz przedmiot!,Csak a tárgy fejlesztése!,Solo migliora oggetto!,¡Solo mejorar objeto!,Améliorer l'objet seulement!,仅升级物品！,アイテムのみアップグレード！,Apenas melhorar item!,仅升级物品！,
tpm_favorites,Favorites,Favorites,Oblíbené,Favoriten,Избранное,Ulubione,Kedvencek,Preferiti,Favoritos,Favoris,收藏夹,お気に入り,Favoritos,收藏夹,
tpm_add_to_favorites,Add to Favorites,Add to Favorites,Přidat to oblíbených,Zu Favoriten hinzufügen,Добавить в избранное,Dodaj do ulubionych,Hozzáadás kedvencekhez,Aggiungi ai preferiti,Añadir a favoritos,Ajouter aux favoris,添加到收藏夹,お気に入りに追加,Adicionar aos favoritos,添加到收藏夹,
tpm_remove_from_favorites,Remove from Favorites,Remove from Favorites,Odebrat z oblíbených,Aus Favoriten entfernen,Удалить из избранного,Usuń z ulubionych,Eltávolítás kedvencekből,Rimuovi dai preferiti,Eliminar de favoritos,Retirer des favoris,从收藏夹移除,お気に入りから削除,Remover dos favoritos,从收藏夹移除,
tpm_quantity,Quantity,Quantity,Množství,Menge,Количество,Ilość,Mennyiség,Quantità,Cantidad,Quantité,数量,数量,Quantidade,数量,
tpm_price,Price,Price,Cena,Preis,Цена,Cena,Ár,Prezzo,Precio,Prix,价格,価格,Preço,价格,
tpm_total,Total,Total,Celkem,Gesamt,Итого,Razem,Összesen,Totale,Total,Total,总计,合計,Total,总计,
tpm_confirm,Confirm,Confirm,Potvrdit,Bestätigen,Подтвердить,Potwierdź,Megerősít,Conferma,Confirmar,Confirmer,确认,確認,Confirmar,确认,
tpm_cancel,Cancel,Cancel,Zrušit,Abbrechen,Отмена,Anuluj,Mégse,Annulla,Cancelar,Annuler,取消,キャンセル,Cancelar,取消,
tpm_yes,Yes,Yes,Ano,Ja,Да,Tak,Igen,Sì,Sí,Oui,是,はい,Sim,是,
tpm_no,No,No,Ne,Nein,Нет,Nie,Nem,No,No,Non,否,いいえ,Não,否,
tpm_next_arrow,>>,>>,>>,>>,>>,>>,>>,>>,>>,>>,>>,>>,>>,,
tpm_minus_symbol,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
