Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_1USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,
STR_2USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,
STR_5USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,
STR_10USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,
STR_20USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,
STR_50USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,
STR_100USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,
STR_5EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,
STR_10EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,
STR_20EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,
STR_50EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,
STR_100EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,
STR_200EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,
STR_500EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,
STR_5RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,
STR_10RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,
STR_50RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,
STR_100RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,
STR_200RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,
STR_500RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,
STR_1000RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,
STR_2000RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,
STR_5000RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,
